t,Value,Expiry
41953.00,90.64,43553.00
41954.00,90.88,43553.00
41955.00,90.42,43553.00
41956.00,88.97,43553.00
41957.00,89.90,43553.00
41960.00,89.61,43553.00
41961.00,89.05,43553.00
41962.00,88.73,43553.00
41963.00,88.77,43553.00
41964.00,89.94,43553.00
41967.00,89.34,43553.00
41968.00,88.92,43553.00
41969.00,88.48,43553.00
41970.00,86.15,43553.00
41971.00,85.57,43553.00
41974.00,87.37,43553.00
41975.00,86.03,43553.00
41976.00,85.55,43553.00
41977.00,84.30,43553.00
41978.00,83.38,43553.00
41981.00,81.12,43553.00
41982.00,80.96,43553.00
41983.00,78.97,43553.00
41984.00,78.55,43553.00
41985.00,76.69,43553.00
41988.00,75.51,43553.00
41989.00,73.53,43553.00
41990.00,74.06,43553.00
41991.00,73.89,43553.00
41992.00,76.59,43553.00
41995.00,76.69,43553.00
41996.00,78.25,43553.00
41997.00,78.32,43553.00
41999.00,77.80,43553.00
42002.00,77.25,43553.00
42003.00,77.44,43553.00
42004.00,77.31,43553.00
42006.00,76.65,43553.00
42009.00,75.68,43553.00
42010.00,74.02,43553.00
42011.00,72.88,43553.00
42012.00,72.41,43553.00
42013.00,73.20,43553.00
42016.00,71.85,43553.00
42017.00,71.90,43553.00
42018.00,72.47,43553.00
42019.00,71.11,43553.00
42020.00,72.29,43553.00
42023.00,71.93,43553.00
42024.00,71.30,43553.00
42025.00,71.67,43553.00
42026.00,71.08,43553.00
42027.00,71.72,43553.00
42030.00,71.51,43553.00
42031.00,72.37,43553.00
42032.00,71.81,43553.00
42033.00,72.35,43553.00
42034.00,74.37,43553.00
42037.00,75.02,43553.00
42038.00,77.06,43553.00
42039.00,75.46,43553.00
42040.00,76.68,43553.00
42041.00,76.69,43553.00
42044.00,77.04,43553.00
42045.00,76.54,43553.00
42046.00,76.24,43553.00
42047.00,77.49,43553.00
42048.00,76.95,43553.00
42051.00,76.94,43553.00
42052.00,77.27,43553.00
42053.00,76.54,43553.00
42054.00,76.00,43553.00
42055.00,76.63,43553.00
42058.00,76.43,43553.00
42059.00,76.88,43553.00
42060.00,77.69,43553.00
42061.00,77.29,43553.00
42062.00,77.64,43553.00
42065.00,76.40,43553.00
42066.00,77.08,43553.00
42067.00,76.00,43553.00
42068.00,75.22,43553.00
42069.00,74.41,43553.00
42072.00,73.88,43553.00
42073.00,73.24,43553.00
42074.00,73.61,43553.00
42075.00,73.70,43553.00
42076.00,72.73,43553.00
42079.00,73.01,43553.00
42080.00,72.31,43553.00
42081.00,73.64,43553.00
42082.00,73.08,43553.00
42083.00,73.54,43553.00
42086.00,73.90,43553.00
42087.00,72.95,43553.00
42088.00,73.13,43553.00
42089.00,73.36,43553.00
42090.00,71.58,43553.00
42093.00,72.31,43553.00
42094.00,71.98,43553.00
42095.00,72.96,43553.00
42096.00,71.90,43553.00
42100.00,72.63,43553.00
42101.00,71.47,43553.00
42102.00,70.46,43553.00
42103.00,71.56,43553.00
42104.00,72.23,43553.00
42107.00,71.84,43553.00
42108.00,71.85,43553.00
42109.00,73.63,43553.00
42110.00,73.40,43553.00
42111.00,72.94,43553.00
42114.00,73.23,43553.00
42115.00,73.28,43553.00
42116.00,73.90,43553.00
42117.00,74.98,43553.00
42118.00,74.21,43553.00
42121.00,74.19,43553.00
42122.00,74.07,43553.00
42123.00,74.55,43553.00
42124.00,74.41,43553.00
42125.00,74.48,43553.00
42128.00,74.87,43553.00
42129.00,75.50,43553.00
42130.00,75.43,43553.00
42131.00,74.85,43553.00
42132.00,75.14,43553.00
42135.00,75.06,43553.00
42136.00,75.11,43553.00
42137.00,75.41,43553.00
42138.00,75.91,43553.00
42139.00,76.00,43553.00
42142.00,75.47,43553.00
42143.00,74.15,43553.00
42144.00,74.60,43553.00
42145.00,74.85,43553.00
42146.00,74.46,43553.00
42149.00,74.63,43553.00
42150.00,74.10,43553.00
42151.00,73.11,43553.00
42152.00,73.49,43553.00
42153.00,74.26,43553.00
42156.00,73.55,43553.00
42157.00,74.38,43553.00
42158.00,73.84,43553.00
42159.00,72.90,43553.00
42160.00,73.97,43553.00
42163.00,73.38,43553.00
42164.00,74.32,43553.00
42165.00,75.14,43553.00
42166.00,74.45,43553.00
42167.00,73.48,43553.00
42170.00,73.86,43553.00
42171.00,74.00,43553.00
42172.00,74.10,43553.00
42173.00,74.29,43553.00
42174.00,73.39,43553.00
42177.00,73.94,43553.00
42178.00,74.05,43553.00
42179.00,73.57,43553.00
42180.00,73.17,43553.00
42181.00,73.10,43553.00
42184.00,72.63,43553.00
42185.00,72.47,43553.00
42186.00,72.08,43553.00
42187.00,71.85,43553.00
42188.00,70.90,43553.00
42191.00,68.32,43553.00
42192.00,68.54,43553.00
42193.00,68.82,43553.00
42194.00,69.93,43553.00
42195.00,70.57,43553.00
42198.00,70.48,43553.00
42199.00,70.35,43553.00
42200.00,69.37,43553.00
42201.00,69.07,43553.00
42202.00,68.79,43553.00
42205.00,68.76,43553.00
42206.00,69.62,43553.00
42207.00,68.87,43553.00
42208.00,68.38,43553.00
42209.00,67.58,43553.00
42212.00,67.66,43553.00
42213.00,67.71,43553.00
42214.00,67.71,43553.00
42215.00,67.45,43553.00
42216.00,67.03,43553.00
42219.00,64.99,43553.00
42220.00,65.11,43553.00
42221.00,64.64,43553.00
42222.00,64.96,43553.00
42223.00,64.81,43553.00
42226.00,65.72,43553.00
42227.00,65.08,43553.00
42228.00,65.57,43553.00
42229.00,65.57,43553.00
42230.00,65.63,43553.00
42233.00,65.64,43553.00
42234.00,65.05,43553.00
42235.00,63.64,43553.00
42236.00,62.44,43553.00
42237.00,60.81,43553.00
42240.00,59.35,43553.00
42241.00,60.00,43553.00
42242.00,60.09,43553.00
42243.00,63.56,43553.00
42244.00,65.43,43553.00
42247.00,68.11,43553.00
42248.00,63.74,43553.00
42249.00,64.64,43553.00
42250.00,64.68,43553.00
42251.00,63.37,43553.00
42254.00,62.09,43553.00
42255.00,63.85,43553.00
42256.00,62.77,43553.00
42257.00,64.05,43553.00
42258.00,63.54,43553.00
42261.00,62.22,43553.00
42262.00,62.42,43553.00
42263.00,63.29,43553.00
42264.00,62.75,43553.00
42265.00,61.42,43553.00
42268.00,62.64,43553.00
42269.00,63.12,43553.00
42270.00,61.84,43553.00
42271.00,62.01,43553.00
42272.00,62.19,43553.00
42275.00,61.15,43553.00
42276.00,61.42,43553.00
42277.00,61.46,43553.00
42278.00,60.60,43553.00
42279.00,60.76,43553.00
42282.00,61.83,43553.00
42283.00,63.50,43553.00
42284.00,63.36,43553.00
42285.00,63.44,43553.00
42286.00,63.64,43553.00
42289.00,62.43,43553.00
42290.00,62.57,43553.00
42291.00,62.46,43553.00
42292.00,62.41,43553.00
42293.00,62.95,43553.00
42296.00,62.02,43553.00
42297.00,62.36,43553.00
42298.00,61.87,43553.00
