t,Value,Expiry
42367,54.69,43553
42368,53.87,43553
42369,54.53,43553
42373,54.18,43553
42374,53.39,43553
42375,51.94,43553
42376,51.11,43553
42377,50.91,43553
42380,49.24,43553
42381,47.89,43553
42382,46.84,43553
42383,47.19,43553
42384,45.08,43553
42387,43.75,43553
42388,43.88,43553
42389,43.51,43553
42390,43.68,43553
42391,46.43,43553
42394,46.18,43553
42395,47.15,43553
42396,47.91,43553
42397,48.12,43553
42398,49.44,43553
42401,48.42,43553
42402,47.34,43553
42403,48.25,43553
42404,48.37,43553
42405,48.12,43553
42408,47.7,43553
42409,45.13,43553
42410,45.46,43553
42411,45.47,43553
42412,47.98,43553
42415,47.72,43553
42416,46.62,43553
42417,48.07,43553
42418,47.92,43553
42419,47.03,43553
42422,48.19,43553
42423,47.21,43553
42424,47.8,43553
42425,47.86,43553
42426,46.96,43553
42429,47.89,43553
42430,48.05,43553
42431,47.86,43553
42432,47.59,43553
42433,48.48,43553
42436,50.19,43553
42437,49.48,43553
42438,50.39,43553
42439,50.06,43553
42440,50.33,43553
42443,49.54,43553
42444,49.25,43553
42445,50.06,43553
42446,50.22,43553
42447,50.2,43553
42450,50.57,43553
42451,51.12,43553
42452,50.25,43553
42453,50.2,43553
42457,49.98,43553
42458,49.94,43553
42459,50.57,43553
42460,50.8,43553
42461,49.35,43553
42464,48.24,43553
42465,47.74,43553
42466,48.87,43553
42467,47.9,43553
42468,49.69,43553
42471,50.42,43553
42472,51.28,43553
42473,50.97,43553
42474,50.5,43553
42475,49.28,43553
42478,49.18,43553
42479,49.99,43553
42480,51.5,43553
42481,51.21,43553
42482,52.18,43553
42485,51.95,43553
42486,52.53,43553
42487,53.36,43553
42488,53.62,43553
42489,53.65,43553
42492,52.96,43553
42493,52.59,43553
42494,52.8,43553
42495,53.19,43553
42496,53.79,43553
42499,52.93,43553
42500,53.83,43553
42501,54.68,43553
42502,54.52,43553
42503,53.66,43553
42506,54.31,43553
42507,54.9,43553
42508,55.17,43553
42509,55.23,43553
42510,55,43553
42513,55.36,43553
42514,55.54,43553
42515,56.15,43553
42516,56.18,43553
42517,56.33,43553
42520,56.52,43553
42521,56.26,43553
42522,56.08,43553
42523,56.19,43553
42524,55.73,43553
42527,56.38,43553
42528,56.84,43553
42529,57.42,43553
42530,56.94,43553
42531,56.13,43553
42534,56.08,43553
42535,55.77,43553
42536,55.32,43553
42537,53.99,43553
42538,55.46,43553
42541,56.52,43553
42542,56.56,43553
42543,56.45,43553
42544,56.9,43553
42545,54.98,43553
42548,54.61,43553
42549,56.3,43553
42550,58.25,43553
42551,56.97,43553
42552,58.07,43553
42555,57.89,43553
42556,56.71,43553
42557,57.89,43553
42558,56.18,43553
42559,56.9,43553
42562,56.67,43553
42563,57.63,43553
42564,56.15,43553
42565,56.5,43553
42566,56.2,43553
42569,55.76,43553
42570,56.14,43553
42571,56.46,43553
42572,55.71,43553
42573,55.64,43553
42576,55.26,43553
42577,54.93,43553
42578,53.8,43553
42579,52.9,43553
42580,52.89,43553
42583,51.96,43553
42584,51.65,43553
42585,52.23,43553
42586,52.6,43553
42587,52.59,43553
42590,53.4,43553
42591,53.38,43553
42592,53.01,43553
42593,54.3,43553
42594,54.78,43553
42597,55.55,43553
42598,56.29,43553
42599,56.99,43553
42600,57.84,43553
42601,57.95,43553
42604,56.73,43553
42605,57.5,43553
42606,56.71,43553
42607,56.91,43553
42608,57.22,43553
42611,56.66,43553
42612,56,43553
42613,54.37,43553
42614,53.12,43553
42615,54.27,43553
42618,54.8,43553
42619,54.54,43553
42620,55.35,43553
42621,57.11,43553
42622,55.54,43553
42625,55.86,43553
42626,55.3,43553
42627,54.42,43553
42628,54.77,43553
42629,54,43553
42632,54.25,43553
42633,54.18,43553
42634,54.64,43553
42635,55.63,43553
42636,54.16,43553
42639,55.32,43553
42640,54.31,43553
42641,56.05,43553
42642,56.42,43553
42643,56.87,43553
42646,57.26,43553
42647,57.5,43553
42648,58.19,43553
42649,58.49,43553
42650,58.19,43553
42653,58.66,43553
42654,57.94,43553
42655,57.65,43553
42656,57.91,43553
42657,57.75,43553
42660,57.61,43553
42661,58.13,43553
42662,58.85,43553
42663,58.16,43553
42664,58.69,43553
42667,58.87,43553
42668,58.65,43553
42669,57.81,43553
42670,57.89,43553
42671,57.24,43553
42674,55.8,43553
42675,55.77,43553
42676,55,43553
42677,54.53,43553
42678,54.07,43553
42681,54.65,43553
42682,54.75,43553
42683,55.25,43553
42684,54.97,43553
42685,53.77,43553
42688,53.16,43553
42689,54.61,43553
42690,54.25,43553
42691,54.51,43553
42692,54.68,43553
42695,56.14,43553
42696,56.33,43553
42697,56.07,43553
42698,56.04,43553
42699,54.67,43553
42702,55.43,43553
42703,53.89,43553
42704,56.38,43553
42705,56.69,43553
42706,57.45,43553
42709,57.91,43553
42710,57.37,43553
42711,56.76,43553
42712,56.91,43553
42713,57.28,43553
42716,57.24,43553
42717,57.23,43553
42718,56.28,43553
42719,56.25,43553
42720,56.59,43553
42723,56.43,43553
42724,57.11,43553
42725,56.5,43553
42726,56.71,43553
42727,56.92,43553
42731,57.54,43553
42732,57.81,43553
42733,57.86,43553
42734,57.91,43553
42737,57.91,43553
42738,56.98,43553
42739,57.9,43553
42740,58.25,43553
42741,58.37,43553
42744,56.76,43553
42745,55.76,43553
42746,56.54,43553
42747,57.2,43553
42748,56.47,43553
42751,56.8,43553
42752,56.77,43553
42753,55.83,43553
42754,56.18,43553
42755,57.2,43553
42758,56.7,43553
42759,56.82,43553
42760,56.21,43553
42761,56.68,43553
42762,55.59,43553
42765,55.55,43553
42766,55.75,43553
42767,56.76,43553
42768,56.32,43553
42769,56.56,43553
42772,55.93,43553
42773,55.32,43553
42774,55.51,43553
42775,55.91,43553
42776,56.31,43553
42779,55.4,43553
42780,55.5,43553
42781,55.33,43553
42782,55.33,43553
42783,55.34,43553
42786,55.36,43553
42787,54.98,43553
42788,54.5,43553
42789,55.09,43553
42790,54.92,43553
42793,55.23,43553
42794,55.74,43553
42795,55.46,43553
42796,55.07,43553
42797,55.34,43553
42800,55.37,43553
42801,55.29,43553
42802,53.35,43553
42803,52.6,43553
42804,51.77,43553
42807,51.9,43553
42808,51.57,43553
42809,51.98,43553
42810,51.83,43553
42811,51.81,43553
42814,51.86,43553
42815,51.61,43553
42816,51.62,43553
42817,51.28,43553
42818,51.45,43553
42821,51.78,43553
42822,51.89,43553
42823,52.46,43553
42824,53.05,43553
42825,53.41,43553
42828,53.51,43553
42829,54.14,43553
42830,54.15,43553
42831,54.44,43553
42832,54.77,43553
42835,55.52,43553
42836,55.83,43553
42837,55.94,43553
42838,55.99,43553
42842,55.77,43553
42843,55.5,43553
42844,53.97,43553
42845,53.84,43553
42846,53.42,43553
42849,52.98,43553
42850,52.98,43553
42851,52.95,43553
42852,52.34,43553
42853,52.61,43553
42856,52.23,43553
42857,51.19,43553
42858,51.5,43553
42859,49.97,43553
42860,51.08,43553
42863,51.31,43553
42864,50.95,43553
42865,51.81,43553
42866,52.07,43553
42867,51.81,43553
42870,51.99,43553
42871,52.23,43553
42872,52.51,43553
42873,52.67,43553
42874,53.51,43553
42877,53.87,43553
42878,53.97,43553
42879,53.58,43553
42880,51.97,43553
42881,52.63,43553
42884,52.81,43553
42885,52.83,43553
42886,51.85,43553
42887,51.78,43553
42888,51.35,43553
